epoch,val_dice,train_dice,val_iou
1,0.5383110609319475,0.3824343272894621,0.47263126855804805
2,0.5424107483455113,0.5387888696789741,0.4755240820703052
3,0.5837212417806897,0.5424547235965729,0.5208155853407723
4,0.5854191349612342,0.5616838163137436,0.5223184086027599
5,0.5885512653797392,0.5929779342412949,0.5246423142296928
6,0.5951678965772901,0.5986311529874802,0.5321568245925601
7,0.6117452699986715,0.6032528283596039,0.5495205999366821
8,0.6002185060864403,0.606778504729271,0.536831449894678
9,0.584309492792402,0.6118307871818542,0.5195579126713767
10,0.5955306144933852,0.6142331509590149,0.5322155992663096
11,0.6129880727283539,0.6107414724826813,0.5505555958028824
12,0.5936398903528849,0.6215084220170974,0.5299652798308266
