epoch,val_dice,train_dice,val_iou
1,0.40377340217431384,0.043317005637352364,0.4037716386337129
2,0.42758623806257096,0.16447377190408424,0.4275828126877073
3,0.4672640183615306,0.19570067548411438,0.46726296392698136
4,0.4702472133295877,0.151933177104417,0.470242666819739
5,0.4871031746031746,0.20338476441197775,0.4871031746031746
6,0.48511964366549537,0.22783095479025342,0.48511934611532426
7,0.4871031746031746,0.24180965177312427,0.4871031746031746
8,0.48710317507622736,0.2388800951805764,0.48710317507622736
9,0.4871031746031746,0.2408381709647656,0.4871031746031746
10,0.48908730253340704,0.24563807011705227,0.48908730253340704
11,0.2982813035921445,0.18837922928854822,0.25019117669453694
12,0.33941341747367193,0.21125686298310756,0.27937119939024485
