epoch,val_dice,train_dice,val_iou
1,0.5830363214962067,0.4127605267465115,0.5202107613994962
2,0.6031605175563267,0.5749568458795548,0.540863311479962
3,0.5633480359637548,0.583447274684906,0.49562933662581066
4,0.5518767483650692,0.5931765469908714,0.48432130898748127
5,0.6117504082974934,0.6215665599107743,0.545854707085897
6,0.6296635927662017,0.6317173016071319,0.5663499936224923
7,0.6376819109159803,0.6426535019874573,0.5776377008074806
8,0.6112283737886519,0.6521098325252533,0.5486761024073948
9,0.6479076213306851,0.6580751528739929,0.5871310238800351
10,0.6565080848005083,0.6558951567411423,0.5986183597928002
11,0.621549874071091,0.673746559381485,0.5633591668946403
12,0.6350491084749736,0.6772829889059067,0.5810142925807408
