epoch,val_dice,train_dice,val_iou
1,0.5372871794397869,0.3829061406850815,0.47156872635795954
2,0.541653143035041,0.5388276328444481,0.47471795857898774
3,0.5815199916324918,0.5432732107639313,0.5187225720239064
4,0.5844182778918554,0.5603683478832245,0.5211616484891801
5,0.6068929466936324,0.5879006131887435,0.5451351754249089
6,0.6150949781849271,0.6027094857692719,0.5531767490837309
7,0.5967777518052904,0.6106451500654221,0.5321542294252486
8,0.5946594405741918,0.6079083096981048,0.5302552964006152
9,0.5779670855355641,0.6188460150957108,0.5111365895422678
10,0.6094121828911796,0.6225576802492142,0.5474046501848433
11,0.617528239885966,0.6170829195976257,0.5558160183921693
12,0.5744102024842822,0.6239973864555359,0.5095296771753401
