epoch,val_dice,train_dice,val_iou
1,0.22864518184510488,0.17794171951711177,0.16035794602736594
2,0.2922220989943497,0.24818426735699176,0.22523620896159657
3,0.3457377238406075,0.3219564929008484,0.2821326081360143
4,0.3323475630983474,0.3539481950700283,0.26469715034204816
5,0.45107443417821613,0.3726933526992798,0.39750336701907807
6,0.4033185215223403,0.39431101581454275,0.33826087249649894
7,0.40572757001907106,0.4134593856930733,0.3391164531783452
8,0.49676433205604553,0.4264304056763649,0.43937174928566763
9,0.4879509111245473,0.44212854707241056,0.42650787508676924
10,0.5212511533782596,0.45075193101167677,0.46655235025617814
11,0.49005737049239023,0.4691361964941025,0.4272393529850339
12,0.5394580487221007,0.4752870345115662,0.4808741377459632
